CodigoEstacion,NombreEstacion,Departamento,Municipio,Latitud,Longitud,frecuencia_extremos,pendiente,p_valor,tendencia,frecuencia_reciente,ratio_reciente,frecuencia_anio_corrido,frecuencia_ultimos_6m,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,precip_real_3m,precip_normal_3m,ratio_volumen_3m,condicion_lluvia_3m,alerta_lluvias,sequia_categoria,freq_sequia_hist,freq_sequia_rec_3m,racha_activa_dias,ratio_sequia,tendencia_sequia,cod_norm
11017020,PR CHOCO: BAGADO,CHOCÓ,BAGADÓ,5.412,-76.418,0.06074766355140187,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,NORMAL,0.036585365853658534,0.0,0.0,,,11017020
11025501,CARMEN DE ATRATO  - AUT,CHOCO,EL CARMEN,5.888719444,-76.14516667,0.05335255948089401,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,ALTA,0.0880503144654088,0.0,107.0,,,11025501
11027030,EL SIETE,CHOCO,EL CARMEN,5.862,-76.15205556,0.0028089887640449437,-0.00034073872154831674,0.1347869576511151,estable,0.0014992503748125937,0.5337331334332833,0.0,0.0,0.0,0.0,DEFICIT,94.8,380.77712041309604,0.24896453835554438,DEFICIT,BAJA,MODERADA,0.08015267175572519,0.25,3.0,1.3404171585989768,estable,11027030
11027030,EL SIETE - AUT,CHOCO,EL CARMEN,5.862,-76.15205556,0.07662835249042145,-0.00034073872154831674,0.1347869576511151,estable,0.0014992503748125937,0.01956521739130435,0.0,0.0,0.0,0.0,DEFICIT,94.8,380.77712041309604,0.24896453835554438,DEFICIT,BAJA,MODERADA,0.08015267175572519,0.25,3.0,1.3404171585989768,estable,11027030
11027070,BORAUDO,CHOCÓ,LLORÓ,5.515,-76.576,0.051806407634628494,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,NORMAL,0.06932773109243698,0.0,1.0,,,11027070
11030010,CERTEGUI,CHOCO,CÉRTEGUI,5.38,-76.61,0.358974358974359,-0.04916396949645033,0.004841716808921198,decreciente,0.4923940076689437,1.3716690213634861,0.228310502283105,0.2564102564102564,0.6360078277886496,0.7142857142857142,DEFICIT,1292.9,2156.1063129732906,0.5996457559725239,DEFICIT,CRÍTICA,MODERADA,0.10752688172043011,0.07692307692307693,1.0,0.808695652173913,estable,11030010
11030010,CERTEGUI,CHOCÓ,CÉRTEGUI,5.38,-76.61,0.0,-0.04916396949645033,0.004841716808921198,decreciente,0.4923940076689437,,0.228310502283105,0.2564102564102564,,,sin_datos,1292.9,2156.1063129732906,0.5996457559725239,DEFICIT,BAJA,MODERADA,0.10752688172043011,0.07692307692307693,1.0,0.808695652173913,estable,11030010
11030010,PR CHOCO: CERTEGUI,CHOCÓ,CÉRTEGUI,5.375,-76.613,0.0408745247148289,-0.04916396949645033,0.004841716808921198,decreciente,0.4923940076689437,12.046476652737878,0.228310502283105,0.2564102564102564,5.585642986088987,6.273106738223016,EXCESO,1292.9,2156.1063129732906,0.5996457559725239,DEFICIT,MODERADA,MODERADA,0.10752688172043011,0.07692307692307693,1.0,0.808695652173913,estable,11030010
11035010,LLORO,CHOCO,LLORÓ,5.499,-76.539,0.07142857142857142,-0.0016049256260511043,0.6979026546889384,estable,0.0838434683205925,1.1738085564882952,0.08444444444444445,0.12101910828025478,1.1822222222222223,1.694267515923567,EXCESO,1421.7,1485.1840032679738,0.957255125877814,NORMAL,MODERADA,NORMAL,0.08928571428571429,0.07142857142857142,1.0,1.0,estable,11035010
11035010,LLORO,CHOCO,LLORÓ,5.51,-76.58,0.25,-0.0016049256260511043,0.6979026546889384,estable,0.0838434683205925,0.33537387328237,0.08444444444444445,0.12101910828025478,0.3377777777777778,0.4840764331210191,DEFICIT,1421.7,1485.1840032679738,0.957255125877814,NORMAL,ALTA,NORMAL,0.08928571428571429,0.07142857142857142,1.0,1.0,estable,11035010
11035030,PR CHOCO: UNION PANAMERICANA,CHOCÓ,UNIÓN PANAMERICANA,5.285,-76.628,0.029173419773095625,-0.07196056652326001,0.000553740541266724,decreciente,0.37923261808710723,12.99925140887473,0.18181818181818182,0.08653846153846154,6.232323232323233,2.9663461538461537,EXCESO,1701.2,3469.4801393726234,0.49033282557069874,DEFICIT,MODERADA,MODERADA,0.07042253521126761,0.14285714285714285,1.0,1.2347826086956522,estable,11035030
11035030,UNION PANAMERICANA,CHOCO,UNIÓN PANAMERICANA,5.284827778,-76.627822222,0.2916666666666667,-0.07196056652326001,0.000553740541266724,decreciente,0.37923261808710723,1.3002261191557962,0.18181818181818182,0.08653846153846154,0.6233766233766234,0.2967032967032967,DEFICIT,1701.2,3469.4801393726234,0.49033282557069874,DEFICIT,CRÍTICA,MODERADA,0.07042253521126761,0.14285714285714285,1.0,1.2347826086956522,estable,11035030
11037030,LA LOMA PUEBLO NUEVO - En Siniestro,CHOCÓ,RIO QUITO (PAIMADÓ),5.585,-76.753,0.05194805194805195,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,ALTA,0.06722689075630252,0.0,506.0,,,11037030
11045010,AEROPUERTO EL CARAÑO,CHOCO,QUIBDÓ,5.690555556,-76.64377778,0.08,-0.004154176170305201,0.048591958825052566,decreciente,0.035654657966485925,0.44568322458107407,0.004347826086956522,0.006369426751592357,0.05434782608695652,0.07961783439490445,DEFICIT,881.8,1335.415832633876,0.6603186651312966,DEFICIT,BAJA,MODERADA,0.06486486486486487,0.125,0.0,1.3120567375886525,estable,11045010
11045010,PR CHOCO: APTO EL CARANO,CHOCO,QUIBDÓ,5.691,-76.644,0.042163882259347654,-0.004154176170305201,0.048591958825052566,decreciente,0.035654657966485925,0.845620850261751,0.004347826086956522,0.006369426751592357,0.10311730926989335,0.15106357408965268,DEFICIT,881.8,1335.415832633876,0.6603186651312966,DEFICIT,BAJA,MODERADA,0.06486486486486487,0.125,0.0,1.3120567375886525,estable,11045010
11047020,QUIBDO,CHOCO,QUIBDÓ,5.697778056,-76.662222222,0.06666666666666667,0.01969849147268502,0.28405551742677876,estable,0.09300861921829663,1.3951292882744495,0.016853932584269662,0.02857142857142857,0.25280898876404495,0.42857142857142855,DEFICIT,400.3,1.4222222222222223,281.4609375,EXCESO,ALTA,MODERADA,0.10714285714285714,0.0,0.0,1.0,estable,11047020
11047040,QUIBDO,CHOCO,QUIBDÓ,5.7,-76.66,0.3,,,,,,,,,,sin_datos,,,,sin_datos,ALTA,NORMAL,0.07111111111111111,0.0,2.0,,,11047040
11047040,QUIBDO - AUT,CHOCO,QUIBDÓ,5.697991667,-76.66225833,0.05034381139489195,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,NORMAL,0.07111111111111111,0.0,2.0,,,11047040
11050020,PR CHOCO: BETE,CHOCÓ,MEDIO ATRATO (BETÉ),5.995,-76.78,0.04573804573804574,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,NORMAL,0.06060606060606061,0.0,0.0,,,11050020
11057020,SAN ANTONIO PADUA,ANTIOQUIA,VIGIA DEL FUERTE,6.286666667,-76.76180556,0.0,0.01115224644636409,0.20893810069467658,estable,0.09051144933497873,,0.15168539325842698,0.12101910828025478,,,sin_datos,615.2,115.42412553917806,5.329908259007642,EXCESO,ALTA,ALTA,0.1016949152542373,0.1,34.0,1.1346153846153846,estable,11057020
11057020,SAN ANTONIO PADUA  - AUT,ANTIOQUIA,VIGIA DEL FUERTE,6.286666667,-76.76180556,0.056776556776556776,0.01115224644636409,0.20893810069467658,estable,0.09051144933497873,1.5941693979644642,0.15168539325842698,0.12101910828025478,2.671620152229069,2.13149784261352,EXCESO,615.2,115.42412553917806,5.329908259007642,EXCESO,ALTA,ALTA,0.1016949152542373,0.1,34.0,1.1346153846153846,estable,11057020
11077020,LA MAGDALENA - AUT,ANTIOQUIA,URRAO,6.298361111,-76.13447222,0.06779661016949153,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,ALTA,0.1,0.0,11.0,,,11077020
11080010,PR CHOCO: BELLAVISTA,CHOCÓ,BOJAYÁ (BELLAVISTA),6.559,-76.885,0.05603448275862069,0.0,,estable,0.0,0.0,0.0,0.0,0.0,0.0,DEFICIT,89.9,2049.348998050798,0.04386758921272404,DEFICIT,BAJA,SEVERA,0.08108108108108109,0.14285714285714285,6.0,3.5238095238095233,estable,11080010
11105020,CARMEN DARIEN,CHOCÓ,CARMEN DEL DARIÉN  (CURBARADÓ),7.154,-76.977,0.0529446757882213,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,NORMAL,0.09803921568627451,0.0,0.0,,,11105020
11110010,NORMAL SANTA TERESA,ANTIOQUIA,FRONTINO,6.763333333,-76.13361111,0.06985294117647059,0.011843360763257283,0.04647686199210225,creciente,0.1566678728375729,2.2428242848326225,0.2608695652173913,0.17834394904458598,3.734553775743707,2.553134428427757,EXCESO,3566.7999999999997,460.9679211469534,7.737631701410581,EXCESO,ALTA,NORMAL,0.0875,0.1,1.0,1.0,decreciente,11110010
11110110,BOQUERON DE TOYO,ANTIOQUIA,GIRALDO,6.699444444,-75.9775,0.07164179104477612,-0.011101738670281993,0.008513797092588822,decreciente,0.08229746965453621,1.1487355139279012,0.017467248908296942,0.025477707006369428,0.24381368267831147,0.35562632696390656,DEFICIT,211.8,342.8087933094385,0.6178371270914788,DEFICIT,MODERADA,NORMAL,0.07246376811594203,0.07692307692307693,4.0,1.0,estable,11110110
11115020,CAÑASGORDAS,ANTIOQUIA,CAÑASGORDAS,6.758027778,-76.02966667,0.08695652173913043,-0.020737327188940093,0.266886905212965,estable,0.0521889400921659,0.6001728110599079,0.0,,0.0,,sin_datos,,,,sin_datos,BAJA,MODERADA,0.1111111111111111,0.0,4.0,0.0,estable,11115020
11115020,CAÑASGORDAS  - AUT,ANTIOQUIA,CAÑASGORDAS,6.758027778,-76.02966667,0.05699481865284974,-0.020737327188940093,0.266886905212965,estable,0.0521889400921659,0.9156786761625472,0.0,,0.0,,sin_datos,,,,sin_datos,BAJA,MODERADA,0.1111111111111111,0.0,4.0,0.0,estable,11115020
11115040,MUSINGA,ANTIOQUIA,FRONTINO,6.777972222,-76.20333333,0.06876790830945559,-0.005040372577389323,0.030260433941655476,decreciente,0.0831633970106459,1.2093343981964757,0.06521739130434782,0.044585987261146494,0.9483695652173912,0.6483545647558386,DEFICIT,361.0,511.2526164874552,0.706108855696894,DEFICIT,MODERADA,NORMAL,0.09345794392523364,0.0625,3.0,1.0,estable,11115040
11115501,CAÑASGORDAS  - AUT,ANTIOQUIA,CAÑASGORDAS,6.748275,-76.03155556,0.06084656084656084,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,NORMAL,0.08571428571428572,0.0,0.0,,,11115501
11117010,EL AÑIL,ANTIOQUIA,URAMITA,6.873888889,-76.14958333,0.06876790830945559,-0.005510083117632778,0.0896612405668815,estable,0.09133025514002277,1.328094126827831,0.09130434782608696,0.01910828025477707,1.3277173913043478,0.2778662420382165,DEFICIT,164.4,316.16913978494625,0.5199748467286294,DEFICIT,MODERADA,NORMAL,0.058333333333333334,0.058823529411764705,1.0,1.0,estable,11117010
11117040,MUTATA  - AUT,ANTIOQUIA,MUTATÁ,7.229444444,-76.43805556,0.06818181818181818,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,MODERADA,0.10344827586206896,0.0,1.0,,,11117040
11117050,DABEIBA 2,ANTIOQUIA,DABEIBA,7.010278056,-76.288333333,0.056818181818181816,-0.0009784999114806668,0.6327880569728362,estable,0.05674931276177988,0.9987879046073259,0.07239819004524888,0.03896103896103896,1.2742081447963802,0.6857142857142857,DEFICIT,95.2,215.9845198215737,0.4407723297884745,DEFICIT,BAJA,MODERADA,0.09126984126984126,0.21428571428571427,3.0,1.1142225497420783,estable,11117050
11117050,DABEIBA 2  - AUT,ANTIOQUIA,DABEIBA,7.004388889,-76.26638889,0.05087440381558029,-0.0009784999114806668,0.6327880569728362,estable,0.05674931276177988,1.1154786789737356,0.07239819004524888,0.03896103896103896,1.4230769230769231,0.765827922077922,DEFICIT,95.2,215.9845198215737,0.4407723297884745,DEFICIT,MODERADA,MODERADA,0.09126984126984126,0.21428571428571427,3.0,1.1142225497420783,estable,11117050
11120040,PR CHOCO: RIOSUCIO,CHOCÓ,RIOSUCIO,7.439,-77.115,0.06224066390041494,,,,,,,,,,sin_datos,,,,sin_datos,BAJA,ALTA,0.10344827586206896,0.0,35.0,,,11120040
