COD_DPTO,NOM_DPTO,COD_MPIO,NOM_MPIO,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,alerta_lluvias,ratio_anio_corrido,ratio_ultimos_6m,condicion_lluvia_6m,ratio_volumen_3m,condicion_lluvia_3m,sequia_categoria,freq_sequia_hist,freq_sequia_rec_3m,racha_activa_dias,tendencia_sequia,n_estaciones,distancia_km_estacion_asignada,sequia_nivel,municipio_afectado
5,ANTIOQUIA,5001,MEDELLÍN,0.05537459283387622,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.09219858156028368,0.0,9.0,sin_datos,1,3.1857266891384253,2,1
5,ANTIOQUIA,5002,ABEJORRAL,0.08659217877094973,0.1132077397219257,2.7636007049764215,estable,ALTA,2.177575255454294,2.1907993966817494,EXCESO,2.482950272321357,EXCESO,MODERADA,0.09195402298850575,0.125,0.0,estable,2,14.439225456689579,2,1
5,ANTIOQUIA,5004,ABRIAQUÍ,0.10285714285714286,0.08561890754591739,2.554297408453202,estable,ALTA,2.661189358372457,0.9561965811965811,DEFICIT,1.8297946022020561,EXCESO,ALTA,0.11538461538461539,0.5,17.0,estable,2,1.9438030424729815,3,1
5,ANTIOQUIA,5021,ALEJANDRÍA,0.06876790830945559,0.1067592518001844,1.552457453261015,estable,ALTA,1.8785885167464116,0.956688596491228,NORMAL,1.2189491822088052,EXCESO,MODERADA,0.08571428571428572,0.15384615384615385,0.0,estable,1,18.982738566833312,2,1
5,ANTIOQUIA,5030,AMAGÁ,0.06857142857142857,0.09188975174259659,1.3400588795795334,estable,ALTA,1.3008607198748043,1.3087606837606838,EXCESO,1.1936915612954244,EXCESO,MODERADA,0.08571428571428572,0.16666666666666666,0.0,estable,1,9.386048648566993,2,0
5,ANTIOQUIA,5031,AMALFI,0.06962025316455696,0.03675201739717869,0.5278926135231121,decreciente,ALTA,0.14292175486205339,0.18414918414918416,DEFICIT,1.1981448816554365,EXCESO,NORMAL,0.08974358974358974,0.06666666666666667,0.0,estable,1,13.141430369761647,0,1
5,ANTIOQUIA,5034,ANDES,0.056241426611796985,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.0962962962962963,0.0,4.0,sin_datos,1,6.799969044730897,2,1
5,ANTIOQUIA,5036,ANGELÓPOLIS,0.06876790830945559,0.08039505709282171,1.169078121891449,decreciente,MODERADA,0.7545204402515724,0.37526881720430105,DEFICIT,0.6784431491526266,DEFICIT,MODERADA,0.08823529411764706,0.2,0.0,estable,1,7.98406854226528,2,0
5,ANTIOQUIA,5038,ANGOSTURA,0.08139534883720931,0.07154914179708234,1.6131079241524018,creciente,MODERADA,,,sin_datos,,sin_datos,MODERADA,0.10465116279069768,0.0,0.0,estable,2,5.604724679086282,2,0
5,ANTIOQUIA,5040,ANORÍ,0.06686046511627906,0.09473643471942976,1.4169275453688626,estable,MODERADA,2.628722002635046,1.9388083735909825,EXCESO,0.451327769241545,DEFICIT,NORMAL,0.08791208791208792,0.1,1.0,estable,1,14.187785105931441,0,1
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,0.057692307692307696,0.057265151291762274,1.0393624959454852,estable,BAJA,0.6560240963855422,0.46538461538461534,DEFICIT,0.5366097240919271,DEFICIT,MODERADA,0.09473684210526316,0.2,0.0,estable,2,4.919636706389633,2,1
5,ANTIOQUIA,5044,ANZÁ,0.06876790830945559,0.08039505709282171,1.169078121891449,decreciente,MODERADA,0.7545204402515724,0.37526881720430105,DEFICIT,0.6784431491526266,DEFICIT,MODERADA,0.08823529411764706,0.2,0.0,estable,1,21.41429651072446,2,1
5,ANTIOQUIA,5045,APARTADÓ,0.05,0.1836994378170849,3.6739887563416977,estable,ALTA,3.1325301204819276,2.3076923076923075,EXCESO,1.8589580105530172,EXCESO,NORMAL,0.07142857142857142,0.1,0.0,estable,1,13.285948372659654,0,1
5,ANTIOQUIA,5051,ARBOLETES,0.06557377049180328,0.17455858273830624,5.411316064887494,estable,MODERADA,7.209302325581396,2.1379310344827585,EXCESO,,sin_datos,MODERADA,0.10377358490566038,0.0,1.0,estable,2,28.71261669422389,2,1
5,ANTIOQUIA,5055,ARGELIA,0.03515185601799775,0.26903851725815575,7.653607738960015,estable,ALTA,8.013521126760564,8.206153846153844,EXCESO,5.599299073263566,EXCESO,MODERADA,0.0936936936936937,0.1111111111111111,0.0,estable,1,5.483032700525438,2,1
5,ANTIOQUIA,5059,ARMENIA,0.06876790830945559,0.08039505709282171,1.169078121891449,decreciente,MODERADA,0.7545204402515724,0.37526881720430105,DEFICIT,0.6784431491526266,DEFICIT,MODERADA,0.08823529411764706,0.2,0.0,estable,1,3.7879727376632024,2,1
5,ANTIOQUIA,5079,BARBOSA,0.06876790830945559,0.1067592518001844,1.552457453261015,estable,ALTA,1.8785885167464116,0.956688596491228,NORMAL,1.2189491822088052,EXCESO,MODERADA,0.08571428571428572,0.15384615384615385,0.0,estable,1,16.78195957590572,2,0
5,ANTIOQUIA,5086,BELMIRA,0.07452725250278086,0.0,0.0,estable,BAJA,0.0,0.0,DEFICIT,0.0,DEFICIT,ALTA,0.10714285714285714,0.0,562.0,sin_datos,2,5.946061296940093,3,0
5,ANTIOQUIA,5088,BELLO,0.07078853046594982,0.0,0.0,estable,BAJA,0.0,0.0,DEFICIT,0.0,DEFICIT,ALTA,0.1095890410958904,0.0,595.0,sin_datos,2,5.26291025308013,3,1
5,ANTIOQUIA,5091,BETANIA,0.056241426611796985,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.0962962962962963,0.0,4.0,sin_datos,1,10.951164900751433,2,1
5,ANTIOQUIA,5093,BETULIA,0.0,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.06880733944954129,0.0,5.0,sin_datos,1,16.326744558596534,2,1
5,ANTIOQUIA,5101,CIUDAD BOLÍVAR,0.05606523955147808,,,sin_datos,BAJA,,,sin_datos,,sin_datos,MODERADA,0.09285714285714286,0.0,9.0,sin_datos,1,3.793339781910118,2,1
5,ANTIOQUIA,5107,BRICEÑO,0.20949720670391062,0.25948821054312665,1.2386237249925245,estable,CRÍTICA,1.3408239700374533,0.9467768595041323,NORMAL,2.3636120813692614,EXCESO,NORMAL,0.09090909090909091,0.0,0.0,estable,1,14.176125163149141,0,1
5,ANTIOQUIA,5113,BURITICÁ,0.07164179104477612,0.08319735463883332,1.1612964085003816,decreciente,MODERADA,0.19752358490566038,0.26842948717948717,DEFICIT,0.559370280650535,DEFICIT,MODERADA,0.1044776119402985,0.07692307692307693,0.0,estable,1,14.124569270155629,2,1
5,ANTIOQUIA,5120,CÁCERES,0.05825242718446602,0.07152890732169641,1.569165404369715,estable,MODERADA,2.162852112676056,1.4062499999999998,EXCESO,0.7842918308185448,DEFICIT,MODERADA,0.10382513661202186,0.07142857142857142,0.0,estable,2,21.946963410776473,2,1
