COD_DPTO,NOM_DPTO,cod_divipola,NOM_MPIO,LATITUD,LONGITUD,amenaza_mm_val,amenaza_mm
5,ANTIOQUIA,5001,MEDELLÍN,6.257590259,-75.61103107,59,MUY_ALTA
5,ANTIOQUIA,5002,ABEJORRAL,5.803728154,-75.43847353,60,MUY_ALTA
5,ANTIOQUIA,5004,ABRIAQUÍ,6.627569378,-76.08597756,56,MUY_ALTA
5,ANTIOQUIA,5021,ALEJANDRÍA,6.365534125,-75.09059702,33,ALTA
5,ANTIOQUIA,5030,AMAGÁ,6.032921994,-75.7080031,59,MUY_ALTA
5,ANTIOQUIA,5031,AMALFI,6.977788843,-74.9812393,37,ALTA
5,ANTIOQUIA,5034,ANDES,5.604993248,-75.94128391,52,MUY_ALTA
5,ANTIOQUIA,5036,ANGELÓPOLIS,6.121430303,-75.71594966,60,MUY_ALTA
5,ANTIOQUIA,5038,ANGOSTURA,6.861498764,-75.358316,37,ALTA
5,ANTIOQUIA,5040,ANORÍ,7.193110778,-75.10848954,37,ALTA
5,ANTIOQUIA,5042,SANTA FÉ DE ANTIOQUIA,6.535711576,-75.90426658,52,MUY_ALTA
5,ANTIOQUIA,5044,ANZÁ,6.293546613,-75.91736927,42,ALTA
5,ANTIOQUIA,5045,APARTADÓ,7.86047815,-76.58236264,40,ALTA
5,ANTIOQUIA,5051,ARBOLETES,8.611395262,-76.41478317,12,BAJA
5,ANTIOQUIA,5055,ARGELIA,5.708114524,-75.09469795,59,MUY_ALTA
5,ANTIOQUIA,5059,ARMENIA,6.163683758,-75.80995528,37,ALTA
5,ANTIOQUIA,5079,BARBOSA,6.443417935,-75.32924085,30,MEDIA
5,ANTIOQUIA,5086,BELMIRA,6.665853953,-75.68621659,60,MUY_ALTA
5,ANTIOQUIA,5088,BELLO,6.358841086,-75.58973588,59,MUY_ALTA
5,ANTIOQUIA,5091,BETANIA,5.727081285,-75.98689107,52,MUY_ALTA
5,ANTIOQUIA,5093,BETULIA,6.185783612,-75.95649246,42,ALTA
5,ANTIOQUIA,5101,CIUDAD BOLÍVAR,5.840995666,-76.01065253,52,MUY_ALTA
5,ANTIOQUIA,5107,BRICEÑO,7.111788462,-75.56223474,37,ALTA
5,ANTIOQUIA,5113,BURITICÁ,6.80906489,-75.91206595,52,MUY_ALTA
5,ANTIOQUIA,5120,CÁCERES,7.665155105,-75.22369744,25,MEDIA
5,ANTIOQUIA,5125,CAICEDO,6.423463639,-75.99351498,56,MUY_ALTA
5,ANTIOQUIA,5129,CALDAS,6.054446841,-75.62642674,59,MUY_ALTA
5,ANTIOQUIA,5134,CAMPAMENTO,7.036017478,-75.28766178,52,MUY_ALTA
5,ANTIOQUIA,5138,CAÑASGORDAS,6.814950023,-76.02689632,52,MUY_ALTA
5,ANTIOQUIA,5142,CARACOLÍ,6.33797388,-74.73354817,34,ALTA
5,ANTIOQUIA,5145,CARAMANTA,5.555275296,-75.63082096,24,MEDIA
5,ANTIOQUIA,5147,CAREPA,7.757967437,-76.64374657,41,ALTA
5,ANTIOQUIA,5148,EL CARMEN DE VIBORAL,5.978078841,-75.2635361,31,ALTA
5,ANTIOQUIA,5150,CAROLINA,6.754821442,-75.30590654,37,ALTA
5,ANTIOQUIA,5154,CAUCASIA,7.867941792,-75.03501824,12,BAJA
5,ANTIOQUIA,5172,CHIGORODÓ,7.631665644,-76.63964213,40,ALTA
5,ANTIOQUIA,5190,CISNEROS,6.550065431,-75.08254116,37,ALTA
5,ANTIOQUIA,5197,COCORNÁ,6.005593074,-75.16015403,31,ALTA
5,ANTIOQUIA,5206,CONCEPCIÓN,6.376106187,-75.21785901,32,ALTA
5,ANTIOQUIA,5209,CONCORDIA,6.057468678,-75.90014678,37,ALTA
5,ANTIOQUIA,5212,COPACABANA,6.351882893,-75.50075633,19,BAJA
5,ANTIOQUIA,5234,DABEIBA,6.992243782,-76.31426328,48,MUY_ALTA
5,ANTIOQUIA,5237,DONMATÍAS,6.492403905,-75.42227687,59,MUY_ALTA
5,ANTIOQUIA,5240,EBÉJICO,6.326444922,-75.78331175,60,MUY_ALTA
5,ANTIOQUIA,5250,EL BAGRE,7.704633351,-74.66427726,25,MEDIA
5,ANTIOQUIA,5264,ENTRERRÍOS,6.594656004,-75.55913083,59,MUY_ALTA
5,ANTIOQUIA,5266,ENVIGADO,6.154394922,-75.54686779,59,MUY_ALTA
5,ANTIOQUIA,5282,FREDONIA,5.887702934,-75.67926242,59,MUY_ALTA
5,ANTIOQUIA,5284,FRONTINO,6.691364773,-76.33199656,48,MUY_ALTA
5,ANTIOQUIA,5306,GIRALDO,6.663095863,-75.94804663,52,MUY_ALTA
5,ANTIOQUIA,5308,GIRARDOTA,6.379745895,-75.44795744,23,MEDIA
5,ANTIOQUIA,5310,GÓMEZ PLATA,6.709562839,-75.19270291,37,ALTA
