COD_MPIO,NOM_MPIO,NOM_DPTO,cartera_total
5001,MEDELLÍN,ANTIOQUIA,4850000000
5004,ABRIAQUÍ,ANTIOQUIA,18500000
5021,ALEJANDRÍA,ANTIOQUIA,12300000
5030,AMAGA,ANTIOQUIA,95000000
5031,AMALFI,ANTIOQUIA,34000000
5034,ANDES,ANTIOQUIA,120000000
5036,ANGELÓPOLIS,ANTIOQUIA,28000000
5038,ANGOSTURA,ANTIOQUIA,22000000
5040,ANORÍ,ANTIOQUIA,19000000
5044,ANZA,ANTIOQUIA,15000000
5045,APARTADÓ,ANTIOQUIA,580000000
5051,ARBOLETES,ANTIOQUIA,65000000
5055,ARGELIA,ANTIOQUIA,24000000
5059,ARMENIA,ANTIOQUIA,17000000
5079,BARBOSA,ANTIOQUIA,210000000
5086,BELMIRA,ANTIOQUIA,13500000
5088,BELLO,ANTIOQUIA,1250000000
5091,BETANIA,ANTIOQUIA,16000000
5093,BETULIA,ANTIOQUIA,14200000
5101,CIUDAD BOLÍVAR,ANTIOQUIA,95000000
5107,BRICEÑO,ANTIOQUIA,11000000
5113,BURITICÁ,ANTIOQUIA,18000000
5120,CÁCERES,ANTIOQUIA,42000000
5125,CAICEDO,ANTIOQUIA,9500000
5129,CALDAS,ANTIOQUIA,320000000
5134,CAMPAMENTO,ANTIOQUIA,8700000
5138,CAÑASGORDAS,ANTIOQUIA,21000000
5142,CARACOLÍ,ANTIOQUIA,12000000
5145,CARAMANTA,ANTIOQUIA,7800000
5147,CAREPA,ANTIOQUIA,85000000
