COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,precip_acum_mm,precip_max_10min,n_estaciones,alerta_compuesta,frecuencia_extremos,frecuencia_reciente,ratio_reciente,tendencia,sequia_categoria,alerta,fecha,municipio_afectado
5001,MEDELLÍN,ANTIOQUIA,6.257590259,-75.61103107,0.0,0.0,5,CRÍTICA,0.1437699680511182,0.1429314437780718,6.245310029525196,estable,MODERADA,3,2026-09-17,1
5004,ABRIAQUÍ,ANTIOQUIA,6.627569378,-76.08597756,0.0,0.0,2,CRÍTICA,0.1028571428571428,0.0839884727633086,2.505656104105376,estable,ALTA,3,2026-09-17,1
5031,AMALFI,ANTIOQUIA,6.977788843,-74.9812393,0.0,0.0,2,MODERADA,0.0773195876288659,0.1187814794315307,1.5362404673144645,estable,MODERADA,1,2026-09-17,1
5034,ANDES,ANTIOQUIA,5.604993248,-75.94128391,,,1,BAJA,0.0562414266117969,0.0,,sin_datos,MODERADA,0,2026-09-17,1
5038,ANGOSTURA,ANTIOQUIA,6.861498764,-75.358316,0.0,0.0,4,CRÍTICA,0.1117318435754189,0.1479181795332591,1.7597540990753473,creciente,MODERADA,3,2026-09-17,0
5040,ANORÍ,ANTIOQUIA,7.193110778,-75.10848954,0.0,0.0,1,MODERADA,0.066860465116279,0.0906529176954448,1.3558523342275226,estable,MODERADA,1,2026-09-17,1
5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.535711576,-75.90426658,0.0,0.0,4,ALTA,0.10062893081761,0.0818538980817445,1.9784261323587624,estable,SEVERA,2,2026-09-17,1
5045,APARTADÓ,ANTIOQUIA,7.86047815,-76.58236264,0.0,0.0,2,CRÍTICA,0.106060606060606,0.1805580470903051,3.642212325700614,estable,NORMAL,3,2026-09-17,1
5055,ARGELIA,ANTIOQUIA,5.708114524,-75.09469795,5.9,3.0,2,CRÍTICA,0.2777777777777778,0.2785350936664968,7.923766344624503,estable,NORMAL,3,2026-09-17,1
5059,ARMENIA,ANTIOQUIA,6.163683758,-75.80995528,0.30000000000000004,0.1,1,MODERADA,0.0687679083094555,0.079474925312429,1.1556978722515727,decreciente,MODERADA,1,2026-09-17,1
5086,BELMIRA,ANTIOQUIA,6.665853953,-75.68621659,,,2,BAJA,0.0745272525027808,0.0,0.0,estable,ALTA,0,2026-09-17,0
5088,BELLO,ANTIOQUIA,6.358841086,-75.58973588,0.0,0.0,2,BAJA,0.0707885304659498,0.0052083333333333,0.0735759493670886,estable,MODERADA,0,2026-09-17,1
5101,CIUDAD BOLÍVAR,ANTIOQUIA,5.840995666,-76.01065253,,,1,BAJA,0.056065239551478,0.0,,sin_datos,MODERADA,0,2026-09-17,1
5120,CÁCERES,ANTIOQUIA,7.665155105,-75.22369744,0.0,0.0,2,MODERADA,0.058252427184466,0.0684189548294487,1.5009408215710316,estable,MODERADA,1,2026-09-17,1
5129,CALDAS,ANTIOQUIA,6.054446841,-75.62642674,0.0,0.0,1,MODERADA,0.0685714285714285,0.0878945451450923,1.2817954500325972,estable,SEVERA,1,2026-09-17,0
5138,CAÑASGORDAS,ANTIOQUIA,6.814950023,-76.02689632,33.1,28.7,4,ALTA,0.0869565217391304,0.1566678728375729,2.2428242848326225,creciente,NORMAL,2,2026-09-17,1
5142,CARACOLÍ,ANTIOQUIA,6.33797388,-74.73354817,,,2,CRÍTICA,0.202127659574468,0.2571120777370777,5.483253363108626,estable,NORMAL,3,2026-09-17,1
5147,CAREPA,ANTIOQUIA,7.757967437,-76.64374657,18.0,0.4,2,CRÍTICA,0.1052631578947368,0.1664053118598573,3.3281062371971464,estable,MODERADA,3,2026-09-17,1
5154,CAUCASIA,ANTIOQUIA,7.867941792,-75.03501824,0.26666666666666666,0.4,3,ALTA,0.0942857142857142,0.1387307077322343,4.047317603840401,estable,NORMAL,2,2026-09-17,1
5172,CHIGORODÓ,ANTIOQUIA,7.631665644,-76.63964213,,,3,MODERADA,0.0735294117647058,0.2200747792913691,4.740072169352566,estable,NORMAL,1,2026-09-17,1
5190,CISNEROS,ANTIOQUIA,6.550065431,-75.08254116,,,1,BAJA,0.0527131782945736,0.0,,sin_datos,ALTA,0,2026-09-17,0
5197,COCORNÁ,ANTIOQUIA,6.005593074,-75.16015403,,,2,BAJA,0.0547445255474452,0.0,,sin_datos,NORMAL,0,2026-09-17,1
5206,CONCEPCIÓN,ANTIOQUIA,6.376106187,-75.21785901,0.0,0.0,1,MODERADA,0.0687679083094555,0.1048349365045242,1.5244747016699562,estable,MODERADA,1,2026-09-17,1
5209,CONCORDIA,ANTIOQUIA,6.057468678,-75.90014678,,,2,BAJA,0.0534420289855072,0.0,,sin_datos,MODERADA,0,2026-09-17,1
5234,DABEIBA,ANTIOQUIA,6.992243782,-76.31426328,4.5,1.2,3,MODERADA,0.0687679083094555,0.134232184960993,1.951959689641108,estable,MODERADA,1,2026-09-17,1
5266,ENVIGADO,ANTIOQUIA,6.154394922,-75.54686779,0.0,0.0,1,ALTA,0.0687679083094555,0.0866530482889028,1.260079743867796,estable,SEVERA,2,2026-09-17,1
5282,FREDONIA,ANTIOQUIA,5.887702934,-75.67926242,0.15000000000000002,0.1,2,MODERADA,0.0673854447439353,0.0737737133013899,1.115827413683523,estable,MODERADA,1,2026-09-17,1
5306,GIRALDO,ANTIOQUIA,6.663095863,-75.94804663,0.0,0.0,1,MODERADA,0.0716417910447761,0.0822974696545362,1.1487355139279012,decreciente,NORMAL,1,2026-09-17,1
5313,GRANADA,ANTIOQUIA,6.123380721,-75.12763646,0.0,0.0,1,ALTA,0.0687679083094555,0.0936516302500035,1.3618507898854686,estable,MODERADA,2,2026-09-17,1
5364,JARDÍN,ANTIOQUIA,5.574444339,-75.81842575,0.0,0.0,2,BAJA,0.0591603053435114,0.0,0.0,sin_datos,MODERADA,0,2026-09-17,1
5368,JERICÓ,ANTIOQUIA,5.769820536,-75.76488256,,,1,BAJA,0.0495185694635488,0.0,,sin_datos,MODERADA,0,2026-09-17,1
5390,LA PINTADA,ANTIOQUIA,5.746583958,-75.60220206,0.03333333333333333,0.1,3,MODERADA,0.0683060109289617,0.053888618577645,1.3969907407407405,estable,NORMAL,1,2026-09-17,1
5400,LA UNIÓN,ANTIOQUIA,5.940434685,-75.35429023,0.2,0.2,2,ALTA,0.0759493670886076,0.0633624551971326,0.834272326762246,estable,MODERADA,2,2026-09-17,0
5425,MACEO,ANTIOQUIA,6.534573585,-74.71410854,0.0,0.0,2,ALTA,0.0537897310513447,0.0935907107541048,33.59906516072364,creciente,NORMAL,2,2026-09-17,0
