COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,tiene_paramo,nombre_paramo,tiene_bosque_seco,nombre_bosque_seco,tiene_humedal,nombre_humedal,tiene_reaa,nombre_reaa,tiene_ley2,nombre_ley2
5001,MEDELLÍN,ANTIOQUIA,6.257590259,-75.61103107,0,,0,,1,Magdalena Cauca,0,,0,
5002,ABEJORRAL,ANTIOQUIA,5.803728154,-75.43847353,0,,0,,0,,0,,0,
5004,ABRIAQUÍ,ANTIOQUIA,6.627569378,-76.08597756,0,,0,,1,Caribe,1,Zonificacion_Ley2da,1,Pacífico
5021,ALEJANDRÍA,ANTIOQUIA,6.365534125,-75.09059702,0,,0,,1,Magdalena Cauca,1,Omec,0,
5030,AMAGÁ,ANTIOQUIA,6.032921994,-75.7080031,0,,0,,0,,1,Omec,0,
5031,AMALFI,ANTIOQUIA,6.977788843,-74.9812393,0,,0,,1,Magdalena Cauca,1,PDET,0,
5034,ANDES,ANTIOQUIA,5.604993248,-75.94128391,0,,0,,0,,1,Omec,0,
5036,ANGELÓPOLIS,ANTIOQUIA,6.121430303,-75.71594966,0,,0,,0,,1,Omec,0,
5038,ANGOSTURA,ANTIOQUIA,6.861498764,-75.358316,0,,0,,1,Magdalena Cauca,0,,0,
5040,ANORÍ,ANTIOQUIA,7.193110778,-75.10848954,0,,0,,0,,0,,0,
5042,SANTA FÉ DE ANTIOQUIA,ANTIOQUIA,6.535711576,-75.90426658,0,,0,,1,Magdalena Cauca,0,,0,
5044,ANZÁ,ANTIOQUIA,6.293546613,-75.91736927,0,,0,,0,,0,,0,
5045,APARTADÓ,ANTIOQUIA,7.86047815,-76.58236264,0,,0,,1,Caribe,1,PDET,0,
5051,ARBOLETES,ANTIOQUIA,8.611395262,-76.41478317,0,,0,,1,Caribe,0,,0,
5055,ARGELIA,ANTIOQUIA,5.708114524,-75.09469795,0,,0,,1,Magdalena Cauca,1,Humedales V3,0,
5059,ARMENIA,ANTIOQUIA,6.163683758,-75.80995528,0,,0,,1,Magdalena Cauca,1,Omec,0,
5079,BARBOSA,ANTIOQUIA,6.443417935,-75.32924085,0,,0,,1,Magdalena Cauca,0,,0,
5086,BELMIRA,ANTIOQUIA,6.665853953,-75.68621659,0,,0,,1,Magdalena Cauca,0,,0,
5088,BELLO,ANTIOQUIA,6.358841086,-75.58973588,0,,0,,1,Magdalena Cauca,0,,0,
5091,BETANIA,ANTIOQUIA,5.727081285,-75.98689107,0,,0,,1,Magdalena Cauca,1,Omec,0,
5093,BETULIA,ANTIOQUIA,6.185783612,-75.95649246,0,,0,,0,,0,,0,
5101,CIUDAD BOLÍVAR,ANTIOQUIA,5.840995666,-76.01065253,0,,0,,1,Magdalena Cauca,1,Omec,0,
5107,BRICEÑO,ANTIOQUIA,7.111788462,-75.56223474,0,,0,,1,Magdalena Cauca,1,PDET,0,
5113,BURITICÁ,ANTIOQUIA,6.80906489,-75.91206595,0,,0,,1,Magdalena Cauca,0,,0,
5120,CÁCERES,ANTIOQUIA,7.665155105,-75.22369744,0,,0,,1,Magdalena Cauca,1,PDET,0,
5125,CAICEDO,ANTIOQUIA,6.423463639,-75.99351498,0,,0,,1,Magdalena Cauca,0,,0,
5129,CALDAS,ANTIOQUIA,6.054446841,-75.62642674,0,,0,,1,Magdalena Cauca,1,Humedales V3,0,
5134,CAMPAMENTO,ANTIOQUIA,7.036017478,-75.28766178,0,,0,,1,Magdalena Cauca,0,,0,
5138,CAÑASGORDAS,ANTIOQUIA,6.814950023,-76.02689632,0,,0,,1,Caribe,1,Zonificacion_Ley2da,1,Pacífico
5142,CARACOLÍ,ANTIOQUIA,6.33797388,-74.73354817,0,,0,,1,Magdalena Cauca,0,,0,
5145,CARAMANTA,ANTIOQUIA,5.555275296,-75.63082096,0,,0,,1,Magdalena Cauca,0,,0,
5147,CAREPA,ANTIOQUIA,7.757967437,-76.64374657,0,,0,,1,Caribe,1,"PDET,Humedales V3",0,
5148,EL CARMEN DE VIBORAL,ANTIOQUIA,5.978078841,-75.2635361,0,,0,,1,Magdalena Cauca,0,,0,
5150,CAROLINA,ANTIOQUIA,6.754821442,-75.30590654,0,,0,,1,Magdalena Cauca,0,,0,
5154,CAUCASIA,ANTIOQUIA,7.867941792,-75.03501824,0,,0,,1,Magdalena Cauca,1,PDET,0,
5172,CHIGORODÓ,ANTIOQUIA,7.631665644,-76.63964213,0,,0,,1,Caribe,1,PDET,0,
5190,CISNEROS,ANTIOQUIA,6.550065431,-75.08254116,0,,0,,1,Magdalena Cauca,0,,0,
5197,COCORNÁ,ANTIOQUIA,6.005593074,-75.16015403,0,,0,,1,Magdalena Cauca,1,Omec,0,
5206,CONCEPCIÓN,ANTIOQUIA,6.376106187,-75.21785901,0,,0,,1,Magdalena Cauca,1,Omec,0,
5209,CONCORDIA,ANTIOQUIA,6.057468678,-75.90014678,0,,0,,1,Magdalena Cauca,0,,0,
5212,COPACABANA,ANTIOQUIA,6.351882893,-75.50075633,0,,0,,1,Magdalena Cauca,0,,0,
5234,DABEIBA,ANTIOQUIA,6.992243782,-76.31426328,0,,0,,1,Caribe,1,PDET,0,
5237,DONMATÍAS,ANTIOQUIA,6.492403905,-75.42227687,0,,0,,1,Magdalena Cauca,1,Omec,0,
5240,EBÉJICO,ANTIOQUIA,6.326444922,-75.78331175,0,,0,,1,Magdalena Cauca,1,Omec,0,
5250,EL BAGRE,ANTIOQUIA,7.704633351,-74.66427726,0,,0,,1,Magdalena Cauca,1,"PDET,Zonificacion_Ley2da",1,Río Magdalena
5264,ENTRERRÍOS,ANTIOQUIA,6.594656004,-75.55913083,0,,0,,1,Magdalena Cauca,1,Omec,0,
5266,ENVIGADO,ANTIOQUIA,6.154394922,-75.54686779,0,,0,,1,Magdalena Cauca,0,,0,
5282,FREDONIA,ANTIOQUIA,5.887702934,-75.67926242,0,,0,,1,Magdalena Cauca,1,Omec,0,
5284,FRONTINO,ANTIOQUIA,6.691364773,-76.33199656,0,,0,,1,Caribe,0,,1,Pacífico
5306,GIRALDO,ANTIOQUIA,6.663095863,-75.94804663,0,,0,,1,Caribe,0,,0,
5308,GIRARDOTA,ANTIOQUIA,6.379745895,-75.44795744,0,,0,,1,Magdalena Cauca,0,,0,
5310,GÓMEZ PLATA,ANTIOQUIA,6.709562839,-75.19270291,0,,0,,1,Magdalena Cauca,0,,0,
5313,GRANADA,ANTIOQUIA,6.123380721,-75.12763646,0,,0,,1,Magdalena Cauca,1,Omec,0,
5315,GUADALUPE,ANTIOQUIA,6.861576325,-75.22591303,0,,0,,1,Magdalena Cauca,0,,0,
5318,GUARNE,ANTIOQUIA,6.266625703,-75.43730801,0,,0,,0,,0,,0,
5321,GUATAPÉ,ANTIOQUIA,6.236329826,-75.15651272,0,,0,,1,Magdalena Cauca,0,,0,
5347,HELICONIA,ANTIOQUIA,6.214511788,-75.74971002,0,,0,,1,Magdalena Cauca,1,Omec,0,
5353,HISPANIA,ANTIOQUIA,5.797039002,-75.90669203,0,,0,,1,Magdalena Cauca,1,Omec,0,
5360,ITAGÜÍ,ANTIOQUIA,6.179279438,-75.6142037,0,,0,,1,Magdalena Cauca,1,Humedales V3,0,
5361,ITUANGO,ANTIOQUIA,7.341549718,-75.67842277,0,,0,,0,,1,PDET,0,
5364,JARDÍN,ANTIOQUIA,5.574444339,-75.81842575,0,,0,,1,Magdalena Cauca,0,,0,
5368,JERICÓ,ANTIOQUIA,5.769820536,-75.76488256,0,,0,,1,Magdalena Cauca,0,,0,
5376,LA CEJA,ANTIOQUIA,5.992524843,-75.43086935,0,,0,,1,Magdalena Cauca,1,Omec,0,
5380,LA ESTRELLA,ANTIOQUIA,6.137595883,-75.64895499,0,,0,,1,Magdalena Cauca,0,,0,
5390,LA PINTADA,ANTIOQUIA,5.746583958,-75.60220206,0,,0,,1,Magdalena Cauca,1,Omec,0,
5400,LA UNIÓN,ANTIOQUIA,5.940434685,-75.35429023,0,,0,,1,Magdalena Cauca,0,,0,
5411,LIBORINA,ANTIOQUIA,6.723990935,-75.78300046,0,,0,,1,Magdalena Cauca,0,,0,
5425,MACEO,ANTIOQUIA,6.534573585,-74.71410854,0,,0,,1,Magdalena Cauca,0,,0,
5440,MARINILLA,ANTIOQUIA,6.18520515,-75.30487933,0,,0,,1,Magdalena Cauca,0,,0,
5467,MONTEBELLO,ANTIOQUIA,5.916853903,-75.51972693,0,,0,,1,Magdalena Cauca,0,,0,
5475,MURINDÓ,ANTIOQUIA,6.828773855,-76.70861349,0,,0,,1,Caribe,1,"PDET,Zonificacion_Ley2da,Humedales V3",1,Pacífico
5480,MUTATÁ,ANTIOQUIA,7.329557848,-76.4630657,0,,0,,1,Caribe,1,"PDET,Zonificacion_Ley2da",1,Pacífico
5483,NARIÑO,ANTIOQUIA,5.581275312,-75.19457019,0,,0,,1,Magdalena Cauca,1,Zonificacion_Ley2da,1,Central
5490,NECOCLÍ,ANTIOQUIA,8.493728551,-76.67699588,0,,0,,1,Caribe,1,PDET,0,
5495,NECHÍ,ANTIOQUIA,7.983477394,-74.65844186,0,,0,,1,Magdalena Cauca,1,"PDET,Zonificacion_Ley2da",1,Río Magdalena
5501,OLAYA,ANTIOQUIA,6.611418083,-75.77567097,0,,0,,1,Magdalena Cauca,0,,0,
5541,PEÑOL,ANTIOQUIA,6.232396368,-75.22350906,0,,0,,1,Magdalena Cauca,0,,0,
5543,PEQUE,ANTIOQUIA,7.044180058,-75.88968843,0,,0,,0,,0,,0,
5576,PUEBLORRICO,ANTIOQUIA,5.80970186,-75.86076667,0,,0,,1,Magdalena Cauca,0,,0,
5579,PUERTO BERRÍO,ANTIOQUIA,6.481922267,-74.5287421,0,,0,,1,Magdalena Cauca,1,CorredorManati,0,
5585,PUERTO NARE,ANTIOQUIA,6.126539139,-74.70317722,0,,0,,1,Magdalena Cauca,1,Omec,0,
5591,PUERTO TRIUNFO,ANTIOQUIA,5.954830151,-74.6861918,0,,0,,1,Magdalena Cauca,0,,0,
5604,REMEDIOS,ANTIOQUIA,6.997267375,-74.55865652,0,,0,,1,Magdalena Cauca,1,"PDET,Zonificacion_Ley2da,Humedales V3",1,Río Magdalena
5607,RETIRO,ANTIOQUIA,6.053444254,-75.51573805,0,,0,,1,Magdalena Cauca,0,,0,
5615,RIONEGRO,ANTIOQUIA,6.150785807,-75.41076052,0,,0,,1,Magdalena Cauca,0,,0,
5628,SABANALARGA,ANTIOQUIA,6.901000506,-75.79222754,0,,0,,1,Magdalena Cauca,0,,0,
5631,SABANETA,ANTIOQUIA,6.138305183,-75.60880599,0,,0,,1,Magdalena Cauca,0,,0,
5642,SALGAR,ANTIOQUIA,5.970502334,-75.98137251,0,,0,,1,Magdalena Cauca,1,Omec,0,
5647,SAN ANDRÉS DE CUERQUÍA,ANTIOQUIA,6.918427233,-75.6657758,0,,0,,1,Magdalena Cauca,0,,0,
5649,SAN CARLOS,ANTIOQUIA,6.193789659,-74.90732769,0,,0,,1,Magdalena Cauca,0,,0,
5652,SAN FRANCISCO,ANTIOQUIA,5.840093731,-74.98176334,0,,0,,1,Magdalena Cauca,0,,0,
5656,SAN JERÓNIMO,ANTIOQUIA,6.438300409,-75.70310727,0,,0,,0,,1,Omec,0,
5658,SAN JOSÉ DE LA MONTAÑA,ANTIOQUIA,6.823258913,-75.67770826,0,,0,,0,,0,,0,
5659,SAN JUAN DE URABÁ,ANTIOQUIA,8.707141583,-76.53248234,0,,0,,1,Caribe,0,,0,
5660,SAN LUIS,ANTIOQUIA,6.024205956,-75.0076674,0,,0,,1,Magdalena Cauca,0,,0,
5664,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,6.458666308,-75.5624839,0,,0,,1,Magdalena Cauca,1,Omec,0,
5665,SAN PEDRO DE URABÁ,ANTIOQUIA,8.37915695,-76.31664233,0,,0,,1,Caribe,1,"PDET,Humedales V3",0,
5667,SAN RAFAEL,ANTIOQUIA,6.31074453,-74.99858652,0,,0,,1,Magdalena Cauca,0,,0,
5670,SAN ROQUE,ANTIOQUIA,6.466165211,-74.9450732,0,,0,,1,Magdalena Cauca,0,,0,
5674,SAN VICENTE FERRER,ANTIOQUIA,6.310387522,-75.32740163,0,,0,,0,,0,,0,
5679,SANTA BÁRBARA,ANTIOQUIA,5.878984956,-75.58330371,0,,0,,1,Magdalena Cauca,1,Omec,0,
5686,SANTA ROSA DE OSOS,ANTIOQUIA,6.675827825,-75.43814333,0,,0,,0,,0,,0,
