CodigoEstacion,COD_MPIO,NombreEstacion,Departamento,Municipio,Latitud,Longitud,fecha_corte,precip_acumulada_anual_mm
11027030,27245.0,EL SIETE,CHOCO,EL CARMEN,5.862,-76.15205556,2026-09-16,395.40000000000003
11030010,27160.0,CERTEGUI,CHOCO,CÉRTEGUI,5.38,-76.61,2026-09-16,6094.95
11035010,27160.0,LLORO,CHOCO,LLORÓ,5.499,-76.539,2026-09-16,7449.400000000001
11035030,27810.0,PR CHOCO: UNION PANAMERICANA,CHOCÓ,UNIÓN PANAMERICANA,5.285,-76.628,2026-09-16,4685.3
11045010,27001.0,AEROPUERTO EL CARAÑO,CHOCO,QUIBDÓ,5.690555556,-76.64377778,2026-09-16,4637.4
11047020,27001.0,QUIBDO,CHOCO,QUIBDÓ,5.697778056,-76.662222222,2026-07-04,4434.6
11057020,5873.0,SAN ANTONIO PADUA,ANTIOQUIA,VIGIA DEL FUERTE,6.286666667,-76.76180556,2026-09-16,1189.3
11080010,5873.0,PR CHOCO: BELLAVISTA,CHOCÓ,BOJAYÁ (BELLAVISTA),6.559,-76.885,2026-09-16,125.2
11110010,5138.0,NORMAL SANTA TERESA,ANTIOQUIA,FRONTINO,6.763333333,-76.13361111,2026-09-16,6332.8
11110110,5306.0,BOQUERON DE TOYO,ANTIOQUIA,GIRALDO,6.699444444,-75.9775,2026-09-16,1086.8999999999999
11115020,5138.0,CAÑASGORDAS,ANTIOQUIA,CAÑASGORDAS,6.758027778,-76.02966667,2026-02-19,818.6
11115040,5842.0,MUSINGA,ANTIOQUIA,FRONTINO,6.777972222,-76.20333333,2026-09-16,1791.3999999999999
11117010,5842.0,EL AÑIL,ANTIOQUIA,URAMITA,6.873888889,-76.14958333,2026-09-16,915.0
11117050,5234.0,DABEIBA 2,ANTIOQUIA,DABEIBA,7.010278056,-76.288333333,2026-09-16,1194.2
11135030,27800.0,UNGUIA,CHOCO,UNGUÍA,8.036722222,-77.08786111,2026-09-16,496.2
12015060,5147.0,TULENAPA,ANTIOQUIA,CAREPA,7.77,-76.67,2026-09-16,2059.6
12015100,5045.0,PISTA INDIRA,ANTIOQUIA,TURBO,7.94075,-76.69616667,2026-09-16,1332.4
12017020,5172.0,BARRANQUILLITA,ANTIOQUIA,CHIGORODÓ,7.57,-76.71,2026-04-02,1165.6
12025040,5837.0,TURBO,ANTIOQUIA,TURBO,8.091805556,-76.71633333,2026-09-16,460.7
12045020,23574.0,CRISTO REY,CORDOBA,PUERTO ESCONDIDO,9.071111111,-76.22444444,2026-09-16,1101.1999999999998
13015040,23807.0,REPRESA URRA,CORDOBA,TIERRALTA,8.014166667,-76.20305556,2026-09-16,2349.3
13027040,23068.0,CANO BARRO,CORDOBA,AYAPEL,8.236777,-74.962588,2026-09-16,2116.1000000000004
13035501,23162.0,AEROPUERTO LOS GARZONES,CORDOBA,MONTERÍA,8.825833333,-75.82513889,2026-09-16,2826.9
13067020,23162.0,MONTERIA,CORDOBA,MONTERÍA,8.751611111,-75.89241667,2026-02-20,164.1
13075010,23168.0,CHIMA,CORDOBA,CHIMA,9.15075,-75.62208333,2026-09-16,1405.8000000000002
13077060,23417.0,COTOCA ABAJO,CORDOBA,LORICA,9.223685,-75.836095,2026-09-16,528.5999999999999
14015080,13001.0,AEROPUERTO RAFAEL NUNEZ,BOLIVAR,CARTAGENA DE INDIAS,10.44725,-75.51602778,2026-09-16,1187.3
14019030,13001.0,CC DIQUE: CIOH,BOLÍVAR,CARTAGENA DE INDIAS,10.391,-75.534,2026-04-10,565.87
15015050,47570.0,AEROPUERTO SIMON BOLIVAR,MAGDALENA,SANTA MARTA,11.1146944,-74.23102778,2026-09-16,652.2
15015060,47001.0,SAN LORENZO,MAGDALENA,SANTA MARTA,11.11108333,-74.05469444,2026-09-15,311.8
15015100,47001.0,PARQUE TAYRONA,MAGDALENA,SANTA MARTA,11.301674,-73.928809,2026-09-16,1509.0
15015120,47001.0,UNIVERSIDAD TECNOLOGICA,MAGDALENA,SANTA MARTA,11.22305556,-74.18591667,2026-09-16,734.6999999999999
15017030,47001.0,MINCA,MAGDALENA,SANTA MARTA,11.142548,-74.111813,2026-09-16,1627.3000000000002
15035020,44090.0,TERMOGUAJIRA,LA GUAJIRA,DIBULLA,11.2525,-73.41138889,2026-09-16,1115.5
