COD_MPIO,NOM_MPIO,NOM_DPTO,LATITUD,LONGITUD,tiene_resguardo,nombre_resguardo,n_resguardos,tiene_consejo,nombre_consejo,n_consejos,tiene_zrc,nombre_zrc,n_zrcs,tiene_tca,nombre_tca,n_tcas
5001,MEDELLÍN,ANTIOQUIA,6.257590259,-75.61103107,0,,0,0,,0,0,,0,0,,0
5004,ABRIAQUÍ,ANTIOQUIA,6.627569378,-76.08597756,0,,0,0,,0,0,,0,0,,0
5021,,,,,0,,0,0,,0,0,,0,0,,0
5030,,,,,0,,0,0,,0,0,,0,0,,0
5031,AMALFI,ANTIOQUIA,6.977788843,-74.9812393,0,,0,0,,0,1,ZRC Agrominero - Ambiental De Anorí Y Campamento,1,0,,0
5034,ANDES,ANTIOQUIA,5.604993248,-75.94128391,1,Resguardo Indígena Unificado Chami|Resguardo Indígena Embera-Katio Rio Andagueda|Resguardo Indígena Embera Chami de Cristiania,3,0,,0,0,,0,0,,0
5036,,,,,0,,0,0,,0,0,,0,0,,0
5038,ANGOSTURA,ANTIOQUIA,6.861498764,-75.358316,0,,0,0,,0,1,ZRC Agrominero - Ambiental De Anorí Y Campamento,1,0,,0
5040,ANORÍ,ANTIOQUIA,7.193110778,-75.10848954,0,,0,1,Consejo Comunitario de Porce Medio|Consejo Comunitario Bocas De Caná|Consejo Comunitario El Aguacate|Consejo Comunitario Pueblo Nuevo,4,1,ZRC Agrominero - Ambiental De Anorí Y Campamento|ZRC Taraza,2,0,,0
5044,,,,,0,,0,0,,0,0,,0,0,,0
5045,APARTADÓ,ANTIOQUIA,7.86047815,-76.58236264,1,Resguardo Indígena Embera-Katio de Las Playas|Resguardo Indígena Embera Chami y Zenu De La Palma,2,0,,0,1,ZRC San Jose Apartado|ZRC Alto Sinu,2,0,,0
5051,,,,,1,Resguardo Indígena de Canime,1,0,,0,0,,0,0,,0
5055,ARGELIA,ANTIOQUIA,5.708114524,-75.09469795,0,,0,0,,0,0,,0,0,,0
5059,ARMENIA,ANTIOQUIA,6.163683758,-75.80995528,0,,0,0,,0,0,,0,0,,0
5079,,,,,0,,0,0,,0,0,,0,0,,0
5086,BELMIRA,ANTIOQUIA,6.665853953,-75.68621659,0,,0,0,,0,0,,0,0,,0
5088,BELLO,ANTIOQUIA,6.358841086,-75.58973588,0,,0,0,,0,0,,0,0,,0
5091,,,,,0,,0,0,,0,0,,0,0,,0
5093,,,,,0,,0,0,,0,0,,0,0,,0
5101,CIUDAD BOLÍVAR,ANTIOQUIA,5.840995666,-76.01065253,1,Resguardo Indígena Embera - Chami de la Sucia - Hermeregildo Chakiama,1,0,,0,0,,0,0,,0
5107,,,,,0,,0,0,,0,1,ZRC Puerta de Oro Valdivia,1,0,,0
5113,,,,,0,,0,0,,0,0,,0,0,,0
5120,CÁCERES,ANTIOQUIA,7.665155105,-75.22369744,1,Resguardo Indígena Vegas De Segovia|Resguardo Indígena Altos del Tigre|Resguardo Indígena Leonardo Jose Campanario|Resguardo Indígena Jose de los Santos del pueblo Senu|Resguardo Indígena Carupia|Resguardo Indígena Omaga|Resguardo Indígena Puerto Belgica,7,0,,0,1,ZRC Agrominero - Ambiental De Anorí Y Campamento|ZRC Taraza,2,0,,0
5125,,,,,0,,0,0,,0,0,,0,0,,0
5129,CALDAS,ANTIOQUIA,6.054446841,-75.62642674,0,,0,0,,0,0,,0,0,,0
5134,,,,,0,,0,0,,0,1,ZRC Agrominero - Ambiental De Anorí Y Campamento,1,0,,0
5138,CAÑASGORDAS,ANTIOQUIA,6.814950023,-76.02689632,0,,0,0,,0,0,,0,0,,0
5142,CARACOLÍ,ANTIOQUIA,6.33797388,-74.73354817,1,Resguardo Indígena Karamandu,1,0,,0,0,,0,0,,0
5145,,,,,1,Resguardo Indígena San Lorenzo del pueblo Emberá Chamí,1,0,,0,0,,0,0,,0
5147,CAREPA,ANTIOQUIA,7.757967437,-76.64374657,1,Resguardo Indígena Embera-Katio de Polines,1,0,,0,1,ZRC San Jose Apartado|ZRC Alto Sinu,2,0,,0
